	Score	0.95 MoE	P-Value	FDR
Feature 0	0.2703180840876672			
Feature 1	0.2549507104275567			
Feature 2	-0.3461683357967408			
Feature 3	-0.43863136729683366			
Feature 4	0.36013904510130756			
Feature 5	0.23415644563463633			
Feature 6	0.27503717284210927			
Feature 7	0.4221763155901098			
Feature 8	0.25574452130666325			
Feature 9	0.2505427572263002			
Feature 10	-0.4783967372168771			
Feature 11	-0.2762470565334329			
Feature 12	-0.42165889778508603			
Feature 13	0.569904159595012			
Feature 14	-0.23671887170530234			
Feature 15	0.16506493174868073			
Feature 16	-0.5442527121088808			
Feature 17	-0.27698590523499095			
Feature 18	0.6823444822140196			
Feature 19	-0.3752855590077258			
