	Score	0.95 MoE	P-Value	FDR
Feature 0	-0.15969553831086888			
Feature 1	0.33783877779432786			
Feature 2	-0.21663964929262294			
Feature 3	-0.5339113421259665			
Feature 4	-0.34735349275117616			
Feature 5	-0.33777965541333704			
Feature 6	0.6739548153996644			
Feature 7	0.4216074215103335			
Feature 8	0.27489843187471896			
Feature 9	0.21611950723770354			
Feature 10	0.5130831733097446			
Feature 11	-0.2016499159954521			
Feature 12	0.38471798536414864			
Feature 13	0.2599028787649127			
Feature 14	0.09529077316849509			
Feature 15	0.27288856126375005			
Feature 16	0.09757049275670653			
Feature 17	-0.5691718989376942			
Feature 18	0.2971189367489842			
Feature 19	0.3605234067196795			
Feature 20	0.1218107164874974			
Feature 21	-0.21071063219516398			
Feature 22	0.2217874408452248			
Feature 23	0.5286295248980158			
Feature 24	0.2886732357248981			
Feature 25	0.6725636658371705			
Feature 26	0.18047295442680458			
Feature 27	-0.502261332139516			
Feature 28	-0.32424420596821846			
Feature 29	-0.15461585720370066			
