	Score	0.95 MoE	P-Value	FDR
Feature 0	-0.3520563210916322			
Feature 1	-0.2215117087519216			
Feature 2	0.3334538072900807			
Feature 3	0.3023674082796031			
Feature 4	0.11853171477212643			
Feature 5	0.6105049877592682			
Feature 6	-0.34786086959163565			
Feature 7	-0.38698376154235076			
Feature 8	-0.7046193695008018			
Feature 9	0.12403813642090188			
Feature 10	-0.1572407921840349			
Feature 11	-0.3401128737407588			
Feature 12	-0.5380590736139677			
Feature 13	0.20010960473479655			
Feature 14	-0.5361177855870874			
Feature 15	-0.4986072067101735			
Feature 16	0.65282050653301			
Feature 17	-0.18945046962419027			
Feature 18	0.3973260666992461			
Feature 19	-0.5018746553623298			
Feature 20	-0.1687333930210095			
Feature 21	0.2115658216766937			
Feature 22	-0.198478070911221			
Feature 23	-0.2750249955872923			
Feature 24	0.6265266246377845			
Feature 25	-0.2282515364674072			
Feature 26	0.336782722764218			
Feature 27	0.12032313609529767			
Feature 28	0.14310491814615925			
Feature 29	0.1851675107038669			
