Gene	Sample 1	Sample 2
MIR628	-1.3896970766952972	-13.896970766952972
RNU6-871P	0.43324691214715855	4.332469121471585
MIR626	-0.16918760688068255	-1.6918760688068255
AC012314.7	0.35087597803899423	3.5087597803899424
GHRLOS	0.5176563990472249	5.17656399047225
RNU6-35P	0.8220439458930193	8.220439458930194
MIR5694	-0.41270429393640745	-4.127042939364075
RNU6-1157P	0.028473059081232772	0.2847305908123277
MIR6861	0.11762480355663693	1.1762480355663694
RNU4-85P	-1.1702948618054647	-11.702948618054647
MIR6759	0.9864783577889021	9.864783577889021
MIR4491	-1.5288642066675289	-15.288642066675289
RNU6-1162P	-1.6025421027351248	-16.025421027351246
RNU1-63P	-0.46729117184254254	-4.672911718425425
hsa-mir-3158-1	-0.9181643533494319	-9.18164353349432
RNU6-528P	0.6509313438639325	6.5093134386393245
Y_RNA	-0.8673841362065875	-8.673841362065875
RN7SKP189	0.7312647740754926	7.312647740754926
Metazoa_SRP	-1.5997459320157321	-15.997459320157322
SNORD115-18	1.7228431015483558	17.228431015483558
SNORA24	-0.15052785153717918	-1.5052785153717918
RNA5SP198	1.060298934088367	10.60298934088367
RNU7-153P	-0.7691142336474474	-7.691142336474473
RNA5SP486	0.3866474552726379	3.8664745527263786
RN7SKP47	-0.031020498979979192	-0.31020498979979194
RN7SL153P	-1.888056477161839	-18.880564771618392
RNU6-123P	-1.4931063703429583	-14.931063703429583
SNORA3B	0.32885022050467405	3.2885022050467407
U6	-1.1926192117791536	-11.926192117791537
RNU6-160P	0.8802998105192996	8.802998105192996
MIR219A2	1.1392932542660503	11.392932542660503
MIR4769	0.3825290332557769	3.825290332557769
MIR3662	-0.23744591327935766	-2.3744591327935765
MIR4648	2.2339102146838505	22.339102146838506
MIR3912	0.481326975454918	4.81326975454918
RN7SL754P	-0.7819409717447334	-7.819409717447334
RNU1-120P	1.4160433523511036	14.160433523511035
MIR1289-1	-0.9479670688080447	-9.479670688080446
MIR8069-2	-0.026445740108751867	-0.2644574010875187
MIR4783	-1.4570293210016327	-14.570293210016327
RN7SKP196	0.013789968955051317	0.13789968955051318
MIR4497	-0.47893373901217806	-4.789337390121781
MIR3145	0.4227400676966967	4.227400676966967
MIR5092	0.1734606475487137	1.734606475487137
MIR196A2	1.3341228636058091	13.34122863605809
RN7SL737P	1.0656161588794513	10.656161588794513
MIR216A	0.7938498570962734	7.938498570962734
FAM231D	1.123391863265461	11.233918632654609
MIR4431	0.2247889561090681	2.247889561090681
RN7SKP175	1.6513329843514144	16.513329843514143
MIR3169	0.1019157785669275	1.019157785669275
MIR4679-1	1.4423708939164697	14.423708939164698
RNU6-591P	1.0220179276213313	10.220179276213312
RNA5SP244	-0.7133846012571656	-7.133846012571656
HOTAIR_3	0.6361230892598353	6.361230892598353
RNU1-52P	-0.8427969310761622	-8.427969310761622
RNU6-1074P	-0.8798561508671782	-8.798561508671781
RN7SKP262	-0.06429883664536061	-0.6429883664536061
RN7SL706P	-0.1887580414125226	-1.887580414125226
FTX_5	-0.15186268536678046	-1.5186268536678047
RN7SKP218	1.2255051038840024	12.255051038840023
DLEU2_5	-0.5685400234654014	-5.685400234654015
RNU6-91P	-1.4641162715680702	-14.641162715680702
RN7SL170P	0.42122832165294055	4.212283216529405
RNU6-1026P	-0.10873689156504837	-1.0873689156504838
DLEU1_2	0.31885351467174766	3.1885351467174767
RNU6-1280P	-1.2734183451944827	-12.734183451944826
VTRNA1-3	-0.5526658674065994	-5.5266586740659935
SNORA74	-0.7959362355296374	-7.959362355296374
AC243790.1	0.4071032895905507	4.071032895905507
RNU6ATAC27P	0.9286861601988695	9.286861601988695
SNORD36B	1.4915471597010732	14.915471597010733
NCRUPAR_2	-2.4885535492320616	-24.885535492320617
SNORD11B	-0.7311674623418519	-7.3116746234185195
SNORA62	0.7723014918315648	7.7230149183156485
RNA5SP385	-0.48332829931983967	-4.833282993198397
RN7SL395P	1.2918642561693838	12.918642561693838
RNU6-888P	1.7378725461815256	17.378725461815257
SNORA71	1.3168984303306197	13.168984303306196
RN7SKP27	-0.40896354663006285	-4.089635466300629
U1	-1.4558064703878801	-14.558064703878802
RNU6-364P	0.1509310186725626	1.5093101867256258
RNU6-881P	2.4553803282672795	24.553803282672796
SNORD2	0.9343399594093987	9.343399594093988
RN7SKP212	0.9418649621699818	9.418649621699819
MIR3972	-0.4822729123601641	-4.822729123601642
RN7SL432P	1.2140657353037536	12.140657353037536
RNU4-23P	1.0868453012451327	10.868453012451326
RNU11-5P	0.471696270079242	4.71696270079242
RNU6-272P	0.010168173400160088	0.10168173400160088
RNU2-63P	-0.4016506754450895	-4.016506754450894
SNORD7	0.012081283731042156	0.12081283731042156
RN7SKP204	0.08869389407662188	0.8869389407662188
RNU6-1207P	1.5386221120984775	15.386221120984775
ZNFX1-AS1_3	1.0064205681097056	10.064205681097055
RMST_10	-0.7948003010622601	-7.9480030106226005
NPPA-AS1_3	0.12021122535156385	1.2021122535156386
U2	-0.07138869949806925	-0.7138869949806925
RNU4-84P	0.9932447835821392	9.932447835821392
RNU1-58P	-0.8654030708481107	-8.654030708481107
RNU6-482P	0.808633231155466	8.08633231155466
RNU6-343P	0.75336849673412	7.5336849673412
RNA5SP50	-0.8937673347640138	-8.937673347640139
RNA5SP182	0.3051748221124532	3.0517482211245324
Evf-2_5p	-1.6927249246788314	-16.927249246788314
RN7SL862P	-0.024203323911569104	-0.24203323911569102
MIR489	-2.271434801098132	-22.71434801098132
MIR340	-1.3285441879370787	-13.285441879370786
