Index	Factor0	Factor1	Factor2
Row0	2.6068842787389475	0.0	0.8520571427949261
Row1	0.45802789380385084	0.4209551965229382	0.6887462709468981
Row2	1.6640326451464567	0.16693672335222134	1.3665831842132439
Row3	0.299573351518734	0.9331345875832141	0.7765497108461737
Row4	0.3639880904724011	1.7892692903623313	0.7217161889773401
Row5	0.49037776721418164	0.8813777886659521	0.25637899777878725
Row6	1.3888306619618636	1.3509354019647448	0.7326961444997068
Row7	0.5329474224690504	0.7612253313592083	0.6564897722176386
Row8	0.5016642933702687	2.6967288017225246	0.0
Row9	0.4891514426519523	1.015279642875613	0.1530445090833415
Row10	1.7174390365568204	1.1239297235518553	0.4144534939777499
Row11	0.6467252526927061	0.9985883778641597	0.21424598259259095
Row12	0.27059105502459113	0.0	4.126556607751201
Row13	0.8526339848366021	0.46191670131576057	0.0
Row14	1.6937521410670222	1.175667916037487	0.3117454506832265
Row15	0.6265141514773145	0.49635818668793436	0.44197396988879806
Row16	1.5597731671650215	1.1268475654542034	0.7154782053619583
Row17	0.6532211738343037	0.38275520535602603	0.847064152468278
Row18	0.0	1.5814574267536912	1.5697267630600888
Row19	0.5129698555297534	0.45677999226708577	0.7742515344117381
