Index	Factor0	Factor1
Row0	1.8444508460872262	0.625688875756585
Row1	0.9827812968943708	0.24111128104756235
Row2	2.2033956075291545	0.0
Row3	0.8547714795749922	0.7848886451381433
Row4	0.2846169429653365	3.030963944792686
Row5	0.451846985921436	1.0087784059081724
Row6	0.12226299794262191	3.257905688161204
Row7	0.7455813926683742	0.6622144884856693
Row8	1.9678716036661634	0.3764538972078142
Row9	0.5952501344078696	0.9795517106460515
Row10	1.7109349237119835	0.766856844984377
Row11	0.825687919818965	0.3299131715470715
Row12	1.3716896453841698	1.3200642412364225
Row13	1.0073367544458185	0.3380193941501511
Row14	0.6492646439275879	2.189160830531155
Row15	0.33348339850463704	1.1816864269959655
Row16	1.6138656840311731	0.7770965541384165
Row17	0.7224593511217569	0.9523589010964333
Row18	1.7409774210779658	0.5752621842804857
Row19	0.8233608520432458	0.3351172588436909
