	Score	0.95 MoE	P-Value	FDR
Sample 0	-0.2839547717576008			
Sample 1	0.4206366177660022			
Sample 2	-0.1494971706851705			
Sample 3	-0.16132315539635192			
Sample 4	0.5762542720693152			
Sample 5	0.4336725850634871			
Sample 6	0.2580689253600163			
Sample 7	0.6015247639546122			
Sample 8	-0.31104489213922704			
Sample 9	0.4134449058118861			
Sample 10	-0.29035757864661466			
Sample 11	-0.1962817834967283			
Sample 12	-0.24376880207155283			
Sample 13	-0.4131587304169787			
Sample 14	-0.5008543470568217			
Sample 15	0.22796905243506			
Sample 16	0.1359872899836342			
Sample 17	0.2639379125983131			
Sample 18	0.2215320835725247			
Sample 19	-0.492739034965632			
