	Score	0.95 MoE	P-Value	FDR
Sample 0	0.1871026269368243			
Sample 1	-0.32557021204197806			
Sample 2	-0.27082872309008454			
Sample 3	-0.2122365082835068			
Sample 4	0.14150977932763054			
Sample 5	0.5903738686889585			
Sample 6	-0.34052188113578363			
Sample 7	-0.16530942554049777			
Sample 8	0.2964266206555894			
Sample 9	0.2094885734356945			
Sample 10	-0.32581594768095384			
Sample 11	0.3703495405921395			
Sample 12	-0.29796125817219776			
Sample 13	0.15153576029370944			
Sample 14	0.2670638327381363			
Sample 15	-0.5609253789410967			
Sample 16	0.6785219628103665			
Sample 17	-0.5092402801961305			
Sample 18	0.2041680300043561			
Sample 19	0.35931260171555346			
