	Score	0.95 MoE	P-Value	FDR
Sample 0	0.201883076411186			
Sample 1	-0.22340558164213045			
Sample 2	0.12594109321900457			
Sample 3	0.6606280379636488			
Sample 4	-0.08997672852533316			
Sample 5	0.322891819935136			
Sample 6	0.176892970888359			
Sample 7	-0.18074036645309033			
Sample 8	0.6739148971689248			
Sample 9	0.20318334767750018			
Sample 10	0.1349777504666118			
Sample 11	0.7516090955252868			
Sample 12	-0.3283970217904877			
Sample 13	0.4368886672026878			
Sample 14	-0.1346614030143301			
Sample 15	0.29480378148151515			
Sample 16	-0.6917704899755447			
Sample 17	-0.1766754715992981			
Sample 18	0.3253286962041448			
Sample 19	0.16169804707583962			
