	Score	0.95 MoE	P-Value	FDR
Sample 0	0.1871001800945533			
Sample 1	-0.3255702120422487			
Sample 2	-0.27083345673329323			
Sample 3	-0.21223650828288274			
Sample 4	0.14150977932796044			
Sample 5	0.5903738686892904			
Sample 6	-0.34052188113493304			
Sample 7	-0.1653037467370719			
Sample 8	0.29642443382419037			
Sample 9	0.20948857343560812			
Sample 10	-0.32580063278040516			
Sample 11	0.37034724661445767			
Sample 12	-0.2979612581718568			
Sample 13	0.1515354043335472			
Sample 14	0.2670638327370161			
Sample 15	-0.5608977992837941			
Sample 16	0.6785425059882775			
Sample 17	-0.5092919903620915			
Sample 18	0.2041680300040388			
Sample 19	0.35930329206973344			
