Index	Factor0	Factor1	Factor2
Row0	1.4229506031195915	0.0	1.3512655027129499
Row1	0.865569653856686	0.16405379227661096	0.18761075299214994
Row2	1.6452987603396863	0.0	1.4645694418904778
Row3	0.74428230365282	0.10832922408040864	0.6680533010609535
Row4	1.930936562760848	0.7776033755413005	0.0
Row5	0.3778204240141582	0.771739730042279	0.2691903934096928
Row6	0.6718019650316258	1.5314302826757271	0.5159411733735829
Row7	0.4618910827564763	0.41411654929167835	0.6445119038063707
Row8	1.5015451969805724	1.0098812462716977	0.0
Row9	0.8493510113394036	0.15283115105007994	0.36878867870287607
Row10	0.0	2.4562285569462428	0.47685030679841434
Row11	0.29453790112887157	0.2366446357078422	1.0263100770672395
Row12	2.092523057143792	0.0	0.2923982813074613
Row13	0.564932727794186	0.5736830198455669	0.582719371937374
Row14	0.0	0.5425574366038424	3.1297401254275066
Row15	0.23585487737375632	0.7298232800258354	0.555187307266834
Row16	0.3810819989840971	1.9263415844356695	1.2534130006421604
Row17	0.7459312041449433	0.4497119931511174	0.6073186716361081
Row18	0.5734459970051607	2.2218536168781586	0.0
Row19	0.27223932837033693	0.6248468452689215	0.86694473567474
