Index	Factor0	Factor1	Factor2	Factor3
Row0	2.3096867372052032	0.8541495858721327	0.0	0.5618450966438205
Row1	0.5784521822026493	0.009669146003778793	0.9517731081233445	0.38209812885672684
Row2	2.220289870432052	0.0	0.8567232606931995	0.4881880508698089
Row3	0.5852690434121635	0.5223057570909774	1.0329287661200175	0.08856887973481345
Row4	0.5137164727312745	2.897485980930571	0.42052405267914417	0.0
Row5	0.20927126168890706	0.8724383805485458	0.4846991500051843	0.4083942676008053
Row6	0.0	3.137641281369324	0.0	1.1390757563431617
Row7	0.5912211099869848	0.4564124109943399	0.772551330218423	0.10251410995053167
Row8	0.09536013647529139	0.3763946675799953	0.0	4.688289976376065
Row9	0.4042869558817806	0.8453449215579368	0.5052620326575189	0.40003468150689225
Row10	1.1659265247240411	0.5204928330750405	0.981842612186341	1.279706084872456
Row11	0.3588466509520361	0.16906746827049615	0.6435532816826621	0.7371246333922972
Row12	0.0	0.3343317928853041	3.280294265438411	0.0
Row13	0.07048030944518326	0.0	1.2979629693757977	0.9083553206989103
Row14	0.3633116802023964	1.7391436900798507	1.362452618966179	0.0
Row15	0.46018189681835836	1.1348043982426352	0.2223962162345151	0.024578694827720675
Row16	2.1292184968648544	0.8446430159334511	0.3409231739425553	0.026233470669705203
Row17	0.7390477081092549	0.9229104277755078	0.3189716861446582	0.3028064817165942
Row18	0.0	0.0	2.3878420808685616	1.5754525221685036
Row19	0.7972255627757031	0.31035499678986517	0.2602836199497955	0.4182830496473708
