Index	Factor0	Factor1
Row0	2.3775191720530464	0.11173028382882781
Row1	0.6494118540689058	0.4381766395674356
Row2	1.8800912320148295	0.25552763933116945
Row3	0.5649130647531778	0.9146033279066722
Row4	0.5837587391001495	1.7193354966680916
Row5	0.4721149318169583	0.8704148320761242
Row6	1.3657492520032488	1.3627137756708565
Row7	0.679927334486711	0.7743602913729914
Row8	0.319097143902057	2.6177442866841765
Row9	0.41838995007464835	1.0015380822036348
Row10	1.4960929898053679	1.1224742395971616
Row11	0.5749733722375076	0.9799120006990435
Row12	2.116298018655771	0.0
Row13	0.6487612406974771	0.4661991564750487
Row14	1.4188691314165895	1.187976562739494
Row15	0.6730203756264783	0.502063797196318
Row16	1.494569321229546	1.1504621704261377
Row17	0.879362162832582	0.3993743408952648
Row18	0.6169822555724429	1.5930683720850847
Row19	0.7321617959332606	0.4718446534567718
