Index	Factor0	Factor1	Factor2	Factor3
Row0	0.0	2.20066251038921	0.07963391160749018	2.3201465016970753
Row1	0.19221034100278359	1.2835193552287931	0.0	0.8762351060610976
Row2	1.0230196625837764	0.20360591413125398	0.5106994172733061	1.8540603662774693
Row3	0.0	0.7771880059734919	0.8124585520975228	0.426895785441018
Row4	0.4005158852771567	0.7324219482968164	1.5052041606725635	1.3235283778840987
Row5	0.4572544796036255	0.5444806063732722	0.28762372349814047	0.24008766376692353
Row6	0.6086284880444837	0.0	2.471393951710667	0.18590282143637957
Row7	0.3319400250192596	0.3844821426467808	0.25126264645300544	0.8084555315542596
Row8	2.316655643494387	0.0	0.2033769531168071	0.6972338330201249
Row9	0.6537199384634702	0.48391486554922386	0.4065496180144529	0.09248467753753307
Row10	1.3923686110584268	1.458351490045568	0.48408246021564194	0.5906715245172077
Row11	0.4305902955175574	0.790721556328217	0.0	0.5776199280789046
Row12	0.03947374188532461	0.0	0.9642017122780371	2.804881853718723
Row13	0.2663321993700624	0.6400960636988369	0.7264925954264086	0.5248460949197719
Row14	2.5374234379452747	0.0284636820473491	0.7922120479393281	0.0
Row15	0.21980299727856442	0.3979166354817496	0.5777968457218877	0.4276338054533434
Row16	0.0	1.201435298936989	2.5539182901431405	0.0
Row17	0.877209704871029	0.7213235124923653	0.054406376437286144	0.4666740292100673
Row18	0.0	3.3482188631786904	0.2405906724211513	1.012506233630023
Row19	0.19350122335968764	0.6781322038763742	0.48210133974133673	0.4403713680601088
